product_id,product_name,category,price,warranty_years,availability,description
P001,TechMart ProBook X500,Laptops,899.99,3,Discontinued,"High-performance 15.6-inch laptop with Intel Core i7, 16GB RAM, 512GB SSD. Perfect for professionals and students. Currently available in silver and space gray."
P002,TechMart ProBook X700,Laptops,1299.99,3,In Stock,"Premium 15.6-inch laptop with Intel Core i9, 32GB RAM, 1TB NVMe SSD. Thunderbolt 4, Wi-Fi 6E, all-day battery life."
P003,TechMart UltraBook 13,Laptops,749.99,3,In Stock,"Ultra-thin 13.3-inch laptop, 1.2kg, Intel Core i5, 8GB RAM, 256GB SSD. Ideal for on-the-go productivity."
P004,AudioMax Pro Headphones,Headphones,249.99,3,Discontinued,"Premium over-ear wireless headphones. 40-hour battery, active noise cancellation, Hi-Res Audio certified. Available in black and white."
P005,AudioMax Studio Headphones,Headphones,179.99,3,In Stock,"Professional studio headphones with flat frequency response. 3.5mm and 6.35mm adapters included. Ideal for mixing and mastering."
P006,AudioMax Sport Earbuds,Headphones,89.99,3,In Stock,"True wireless earbuds, IPX5 water resistant, 8-hour battery plus 24-hour charging case. Secure sport fit."
P007,DataPad 3000,Tablets,599.99,3,Discontinued,"10.5-inch Android tablet, Snapdragon 870, 8GB RAM, 128GB storage. 4G LTE + Wi-Fi. Stylus support. Ships worldwide."
P008,DataPad Pro,Tablets,799.99,3,In Stock,"11-inch tablet with OLED display, 12GB RAM, 256GB storage. Face unlock, quad speakers, USB-C fast charge."
P009,DataPad Mini,Tablets,399.99,3,In Stock,"8-inch compact tablet. Perfect for reading, streaming, and light productivity. 6GB RAM, 64GB storage."
P010,UltraCharge PowerBank X,Accessories,79.99,3,Discontinued,"26800mAh power bank, 100W USB-C PD output, charges laptops and phones simultaneously. LED battery indicator."
P011,UltraCharge PowerBank Pro,Accessories,59.99,3,In Stock,"20000mAh power bank with 65W USB-C PD and 22.5W USB-A fast charge. Slim design, airline approved."
P012,SmartHome Hub Elite,Smart Home,149.99,3,Discontinued,"Smart home controller supporting Zigbee, Z-Wave, Wi-Fi, and Bluetooth. Works with Alexa, Google Home, HomeKit."
P013,SmartHome Hub Standard,Smart Home,99.99,3,In Stock,"Plug-and-play smart home hub. Supports 100+ device brands. Mobile app control, automations, scheduling."
P014,TechMart Mechanical Keyboard,Accessories,129.99,3,In Stock,"Tenkeyless mechanical keyboard, Cherry MX Red switches, RGB per-key lighting, USB-C detachable cable."
P015,TechMart Wireless Mouse,Accessories,49.99,3,In Stock,"Ergonomic wireless mouse, 2.4GHz + Bluetooth dual mode, 90-day battery life, 4000 DPI adjustable."
P016,TechMart 27-inch Monitor,Monitors,429.99,3,In Stock,"27-inch IPS display, 2560x1440 QHD, 165Hz, 1ms response time, HDR400, USB-C 65W power delivery."
P017,TechMart Webcam Pro,Accessories,99.99,3,In Stock,"4K 30fps webcam with AI auto-framing, noise-cancelling dual microphone, privacy shutter, USB-C."
P018,TechMart USB-C Hub 7-in-1,Accessories,49.99,3,In Stock,"USB-C hub: 4K HDMI, 100W PD passthrough, 3x USB-A 3.0, SD card reader, microSD. Aluminum chassis."
P019,TechMart Laptop Stand,Accessories,39.99,3,In Stock,"Adjustable aluminum laptop stand. Compatible with 10-17 inch laptops. Foldable, ventilated, anti-slip."
P020,TechMart Noise Cancelling Earbuds,Headphones,159.99,3,In Stock,"True wireless ANC earbuds. 6-hour battery + 24-hour case, IPX4 water resistant, multipoint Bluetooth 5.3."
